2026-05-07 18:45:45 | LICENSE BLOCK CAMERA: 9
2026-05-07 18:45:45 | LICENSE BLOCK CAMERA: 10
2026-05-07 18:45:57 | LICENSE RECORD BLOCK: 4
2026-05-07 18:46:05 | LICENSE RECORD BLOCK: 5
2026-05-07 18:46:23 | LICENSE RECORD BLOCK: 9
2026-05-07 18:46:28 | LICENSE RECORD BLOCK: 10
2026-05-07 19:02:43 | LICENSE BLOCK CAMERA: 9
2026-05-07 19:02:43 | LICENSE BLOCK CAMERA: 10
2026-05-07 19:04:33 | LICENSE BLOCK CAMERA: 9
2026-05-07 19:04:33 | LICENSE BLOCK CAMERA: 10
2026-05-07 19:12:21 | LICENSE RECORD BLOCK: 2
2026-05-07 19:12:27 | LICENSE RECORD BLOCK: 3
2026-05-07 19:12:31 | LICENSE RECORD BLOCK: 4
2026-05-07 23:53:33 | LICENSE BLOCK CAMERA: 10
2026-05-07 23:53:33 | LICENSE BLOCK CAMERA: 11
2026-05-08 00:05:25 | LICENSE BLOCK CAMERA: 10
2026-05-08 00:05:25 | LICENSE BLOCK CAMERA: 11
2026-05-08 00:05:47 | LICENSE RECORD BLOCK: 11
2026-05-08 06:42:33 | LICENSE BLOCK CAMERA: 10
2026-05-08 06:42:33 | LICENSE BLOCK CAMERA: 11
2026-05-08 06:45:14 | LICENSE BLOCK CAMERA: 10
2026-05-08 06:45:14 | LICENSE BLOCK CAMERA: 11
2026-05-08 06:52:02 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:12 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:20 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:25 | LICENSE RECORD BLOCK: 1
2026-05-08 06:54:53 | LICENSE RECORD BLOCK: 1
2026-05-08 16:52:29 | LICENSE BLOCKED | License đã bị khóa trên hệ thống ATG.
2026-05-08 16:54:43 | LICENSE BLOCKED | License đã bị khóa trên hệ thống ATG.
2026-05-08 16:59:16 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-08 16:59:54 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 06:48:25 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 06:57:27 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 06:59:00 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 06:59:15 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:07:53 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:13:59 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:15:22 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:15:50 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:16:50 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:17:05 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:24:16 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:27:23 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:28:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:29:23 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:29:50 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:33:05 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:35:13 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:35:39 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:37:00 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:38:55 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:39:47 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 07:40:38 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:11:05 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:11:28 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:19:08 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:22:57 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:24:12 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:26:25 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:27:52 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:42:06 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:48:29 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:57:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:58:21 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 22:59:53 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:02:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:13:45 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:14:40 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:18:11 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:20:41 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:21:47 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:25:26 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:25:58 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-09 23:26:45 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
